Title,Price,Link,Scraped_At
เครื่องซักผ้าฝาหน้า TOSHIBA TW-BH85S2T 7.5 กก. อิน...,"฿ 13,990-28%",https://www.homepro.co.th/p/1154242,2025-04-16 21:46:17.945690+07:00
เครื่องซักผ้าฝาบน TOSHIBA AW-M901BT(WW) 8 กก. สีขา...,"฿ 6,490-12%",https://www.homepro.co.th/p/1228637,2025-04-16 21:46:17.945690+07:00
เครื่องขจัดคราบอเนกประสงค์ IRIS OHYAMA RNS-300,"฿ 3,300-18%",https://www.homepro.co.th/p/1185134,2025-04-16 21:46:17.945690+07:00
ตู้เย็น 2 ประตู SAMSUNG RT25FGRADB1/ST 9.0 คิว,"฿ 10,490-11%",https://www.homepro.co.th/p/1177504,2025-04-16 21:46:17.945690+07:00
เครื่องซักผ้าฝาบน LG T2314VS2B 14 กก. อินเวอร์เตอร...,"฿ 14,490-27%",https://www.homepro.co.th/p/1219852,2025-04-16 21:46:17.945690+07:00
พัดลมตั้งพื้น 16 นิ้ว TOSHIBA F-ASY50TH(W) สีขาว,"฿ 1,690-41%",https://www.homepro.co.th/p/1181275,2025-04-16 21:46:17.945690+07:00
เครื่องซักผ้าฝาบน SAMSUNG WA14CG5441BYST 14 กก. อิ...,"฿ 16,490-31%",https://www.homepro.co.th/p/1232596,2025-04-16 21:46:17.945690+07:00
เครื่องซักผ้าฝาบน SAMSUNG WA16CG6745BDST 16 กก. อิ...,"฿ 19,990-27%",https://www.homepro.co.th/p/1232594,2025-04-16 21:46:17.945690+07:00
ตู้เย็น 2 ประตู SAMSUNG RT38CG6020B1ST 13.9 สีดำ อ...,"฿ 17,490-42%",https://www.homepro.co.th/p/1233801,2025-04-16 21:46:17.945690+07:00
ตู้เย็น 2 ประตู TOSHIBA GR-RT234WE-DMTH(SS) 6.4 คิ...,"฿ 6,990-10%",https://www.homepro.co.th/p/1240795,2025-04-16 21:46:17.945690+07:00
ขาแขวนทีวี MOVADA PTB-213MBA,"฿ 1,490-0%",https://www.homepro.co.th/p/1140153,2025-04-16 21:46:17.945690+07:00
ขาแขวนทีวี MOVADA PTB-101MT 32-70 นิ้ว,"฿ 1,190-0%",https://www.homepro.co.th/p/1140087,2025-04-16 21:46:17.945690+07:00
"แอลอีดีทีวี 55 นิ้ว SONY (4K, GOOGLE TV) KD-55X75K","฿ 22,490-10%",https://www.homepro.co.th/p/1206496,2025-04-16 21:46:17.945690+07:00
"แอลอีดีทีวี 43 นิ้ว TOSHIBA (FULL HD, Android TV) ...","฿ 11,999-30%",https://www.homepro.co.th/p/1236211,2025-04-16 21:46:17.945690+07:00
เครื่องดูดฝุ่นแบบถุง ELECTROLUX Z1221 1600 วัตต์ ส...,"฿ 2,190-20%",https://www.homepro.co.th/p/1087463,2025-04-16 21:46:17.945690+07:00
เครื่องดูดฝุ่นแบบด้าม ELECTROLUX ZB3515ST,"฿ 5,990-25%",https://www.homepro.co.th/p/1172833,2025-04-16 21:46:17.945690+07:00
